dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value,rainStatusNum,AQI_Category
30.82,54.38,850,853,1010.81,9.92445,465,1,Good
30.69,51.18,858,861,1010.823,9.81624,307,1,Good
30.7,56.29,824,878,1010.83954,9.67784,283,1,Good
31.74,62.94,822,883,1010.85919,9.51427,289,1,Good
31.73,51.84,821,886,1010.87463,9.38543,232,1,Good
31.71,69.23,814,892,1010.88336,9.31245,250,1,Good
31.72,73.69,723,901,1010.89954,9.17758,279,1,Good
31.75,60.43,816,936,1010.91205,9.0729,269,1,Good
31.76,56.58,820,943,1010.9339,8.89072,294,1,Good
31.77,83.72,706,944,1010.9342,8.8882,267,1,Good
31.79,89.92,828,916,1010.95032,8.75383,276,1,Good
31.81,84.21,818,955,1010.96906,8.59732,263,1,Good
31.82,81.81,811,962,1010.97516,8.5465,262,1,Good
31.84,69.92,810,966,1010.96997,8.58978,272,1,Good
31.87,52.24,853,973,1010.96124,8.66275,235,1,Good
31.9,56.26,727,976,1010.96857,8.60135,253,1,Good
31.92,54.94,734,980,1010.96234,8.65369,268,1,Good
31.93,52.22,740,978,1010.96167,8.65922,381,1,Good
31.95,64.82,733,981,1010.97797,8.52335,398,1,Good
31.97,69.39,712,985,1010.98608,8.45541,460,1,Good
31.98,63.57,773,993,1011.01642,8.20229,393,1,Good
32,77.15,716,996,1011.03406,8.05535,327,1,Good
32.02,67.14,789,1002,1011.03467,8.05032,344,1,Good
32.03,69.91,800,1005,1011.0415,7.99295,386,1,Good
32.06,66.33,674,1008,1011.05719,7.86212,477,1,Good
32.05,63.61,680,1012,1011.05487,7.88174,337,1,Good
32.07,72.03,668,1016,1011.02905,8.09712,306,1,Good
32.08,74.93,746,1023,1011.03296,8.06441,209,1,Good
32.09,73.55,807,708,1011.00842,8.26922,174,1,Good
32.12,76.15,812,709,1011.0094,8.26066,178,1,Good
32.1,73.11,744,710,1010.9906,8.41767,173,1,Good
32.04,74.87,806,701,1010.97974,8.50825,476,1,Good
32.01,76.2,713,749,1010.9903,8.42019,56,1,Good
