timestamp,temperature,humidity,AQI
2024-11-04T12:36:29-05:00,30.2,79,396
2024-11-04T12:37:31-05:00,30.2,77,397
2024-11-04T12:38:33-05:00,30.2,78,413
2024-11-04T12:39:35-05:00,30.2,79,345
2024-11-04T12:40:37-05:00,30.2,78,366
2024-11-04T12:41:39-05:00,30.2,78,357
2024-11-04T12:42:40-05:00,30.2,78,354
2024-11-04T12:43:42-05:00,30.2,77,373
2024-11-04T12:44:44-05:00,30.2,77,348
2024-11-04T12:45:46-05:00,30.2,77,384
2024-11-04T12:46:48-05:00,30.2,78,423
2024-11-04T12:47:50-05:00,30.2,78,412
2024-11-04T12:48:52-05:00,30.2,79,411
2024-11-04T12:49:54-05:00,30.2,78,414
2024-11-04T12:50:56-05:00,30.2,79,415
2024-11-04T12:51:58-05:00,30.2,78,425
2024-11-04T12:53:00-05:00,30.2,78,420
2024-11-04T12:54:02-05:00,30.2,77,407
2024-11-04T12:55:03-05:00,30.2,78,409
2024-11-04T12:56:05-05:00,30.2,77,417
2024-11-04T12:57:07-05:00,30.2,79,419
2024-11-04T12:58:09-05:00,30.2,79,403
2024-11-04T12:59:11-05:00,30.2,79,402
2024-11-04T13:00:13-05:00,30.2,79,401
2024-11-04T13:01:15-05:00,30.2,79,408
2024-11-04T13:02:16-05:00,30.2,78,399
2024-11-04T13:03:45-05:00,30.2,79,355
2024-11-04T13:04:46-05:00,30.2,79,406
2024-11-04T13:05:48-05:00,30.2,78,400
2024-11-04T13:06:50-05:00,30.2,78,404
2024-11-04T13:07:52-05:00,30.2,78,405
2024-11-04T13:08:53-05:00,30.2,78,416
2024-11-04T13:09:56-05:00,30.2,78,372
2024-11-04T13:10:57-05:00,30.2,79,362
2024-11-04T13:11:59-05:00,30.2,78,364
2024-11-04T13:13:01-05:00,30.2,78,378
2024-11-04T13:14:03-05:00,30.2,78,351
2024-11-04T13:15:05-05:00,29.8,80,353
2024-11-04T13:16:07-05:00,29.8,80,360
2024-11-04T13:17:09-05:00,29.8,80,371
2024-11-04T13:18:10-05:00,29.8,80,352
2024-11-04T13:19:12-05:00,29.8,80,361
2024-11-04T13:20:14-05:00,29.8,80,356
2024-11-04T13:21:16-05:00,29.8,80,363
2024-11-04T13:22:18-05:00,29.8,80,359
2024-11-04T13:23:20-05:00,29.8,81,358
2024-11-04T13:24:21-05:00,29.8,80,374
2024-11-04T13:25:23-05:00,29.8,80,367
2024-11-04T13:26:25-05:00,29.8,80,350
2024-11-04T13:27:27-05:00,29.8,81,375
2024-11-04T13:28:29-05:00,29.8,81,365
2024-11-04T13:29:30-05:00,29.8,80,346
2024-11-04T13:30:32-05:00,29.8,80,385
2024-11-04T13:31:34-05:00,29.8,80,389
2024-11-04T13:32:36-05:00,29.8,81,391
2024-11-04T13:33:37-05:00,29.8,81,329
2024-11-04T13:34:39-05:00,29.8,80,332
2024-11-04T13:35:41-05:00,29.8,80,326
2024-11-04T13:36:43-05:00,29.8,80,340
2024-11-04T13:37:44-05:00,29.8,80,343
2024-11-04T13:38:46-05:00,29.8,80,349
2024-11-04T13:39:48-05:00,29.8,80,390
2024-11-04T13:40:49-05:00,29.8,80,394
2024-11-04T13:41:51-05:00,29.8,80,380
2024-11-04T13:42:53-05:00,29.8,80,395
2024-11-04T13:43:55-05:00,29.8,80,334
2024-11-04T13:44:57-05:00,29.8,80,335
2024-11-04T13:45:59-05:00,29.8,80,336
2024-11-04T13:47:00-05:00,29.8,80,347
2024-11-04T13:48:03-05:00,29.8,80,369
2024-11-04T13:49:05-05:00,29.8,80,376
2024-11-04T13:50:07-05:00,29.8,80,370
2024-11-04T13:51:08-05:00,29.8,80,368
2024-11-04T13:52:10-05:00,29.8,81,379
2024-11-04T13:53:12-05:00,29.8,81,388
2024-11-04T13:54:14-05:00,29.8,80,382
2024-11-04T13:55:16-05:00,29.8,81,430
2024-11-04T13:56:18-05:00,29.8,81,424
2024-11-04T13:57:20-05:00,29.8,81,418
2024-11-04T13:58:21-05:00,29.8,81,426
2024-11-04T13:59:23-05:00,29.8,81,427
2024-11-04T14:00:26-05:00,29.8,81,410
2024-11-04T14:01:29-05:00,29.8,81,330
2024-11-04T14:02:33-05:00,29.8,81,392
2024-11-04T14:04:01-05:00,29.8,81,422
2024-11-04T14:05:02-05:00,29.8,81,421
2024-11-04T14:06:05-05:00,29.8,82,383
2024-11-04T14:07:07-05:00,29.8,82,431
2024-11-04T14:08:08-05:00,29.8,82,446
2024-11-04T14:09:10-05:00,29.8,82,428
2024-11-04T14:10:12-05:00,29.8,82,387
2024-11-04T14:11:14-05:00,29.8,82,377
2024-11-04T14:12:15-05:00,29.8,81,429
2024-11-04T14:13:17-05:00,29.8,81,437
2024-11-04T14:14:19-05:00,29.8,81,433
2024-11-04T14:15:20-05:00,29.8,81,434
2024-11-04T14:16:22-05:00,29.8,81,436
2024-11-04T14:17:24-05:00,29.8,81,435
2024-11-04T14:18:25-05:00,29.8,81,438
2024-11-04T14:19:27-05:00,29.8,81,444
2024-11-04T14:20:29-05:00,29.8,81,432
2024-11-04T14:21:31-05:00,29.8,81,303
2024-11-04T14:22:32-05:00,29.8,81,331
2024-11-04T14:23:34-05:00,29.8,81,291
2024-11-04T14:25:44-05:00,29.8,81,255
2024-11-04T14:26:48-05:00,29.8,81,233
2024-11-04T14:27:50-05:00,29.8,81,440
2024-11-04T14:28:52-05:00,29.8,81,338
2024-11-04T14:29:54-05:00,29.9,81,339
2024-11-04T14:30:56-05:00,30.2,80,325
2024-11-04T14:31:59-05:00,29.8,81,465
2024-11-04T14:33:01-05:00,29.8,81,307
2024-11-04T14:34:03-05:00,29.8,81,283
2024-11-04T14:35:05-05:00,29.8,81,289
2024-11-04T14:36:07-05:00,30.2,80,232
