dhtTemp,dhthum,LDR value,pressure,altitude,rainValue,rainStatusNum
32.03,69.91,800,1011.0415,7.99295,1005,1
32.06,66.33,674,1011.05719,7.86212,1008,1
32.05,63.61,680,1011.05487,7.88174,1012,1
32.07,72.03,668,1011.02905,8.09712,1016,1
32.08,74.93,746,1011.03296,8.06441,1023,1
32.09,73.55,807,1011.00842,8.26922,708,1
32.12,76.15,812,1011.0094,8.26066,709,1
32.1,73.11,744,1010.9906,8.41767,710,1
32.04,74.87,806,1010.97974,8.50825,701,1
32.01,76.2,713,1010.9903,8.42019,749,1
31.96,73.83,685,1010.98138,8.49466,758,1
31.94,76.55,686,1010.99731,8.36181,753,1
31.91,64.99,675,1011.00537,8.29438,762,1
31.44,74.36,736,1011.04669,7.94967,696,1
31.36,77.63,772,1011.03705,8.03019,693,1
31.35,81.54,879,1011.04346,7.97685,706,1
31.33,78.07,844,1011.0647,7.79972,716,1
31.38,78.02,867,1011.06116,7.82891,722,1
31.37,75.25,871,1011.04846,7.93508,726,1
31.45,64.41,873,1011.04749,7.94313,703,1
31.46,53.54,870,1011.03534,8.04428,727,1
31.47,61.87,808,1011.04919,7.92904,764,1
31.48,62.28,778,1011.04108,7.99647,757,1
31.5,64.51,676,1011.03796,8.02264,770,1
31.51,67.49,830,1011.01221,8.23751,729,1
31.52,70.72,802,1011.0022,8.32105,735,1
31.54,64.16,852,1010.98718,8.44635,715,1
31.56,72.16,832,1010.9881,8.4388,730,1
31.57,74.93,856,1010.98132,8.49517,759,1
31.59,69.8,819,1010.99188,8.4071,763,1
31.61,73.2,783,1010.96765,8.6094,765,1
31.63,74.73,781,1010.97339,8.56109,776,1
31.64,78.37,817,1010.97266,8.56763,777,1
31.65,74.08,881,1010.99408,8.38848,709,1
31.66,72.45,912,1011.01233,8.23651,769,1
31.67,69.72,876,1010.99469,8.38345,728,1
31.68,71.36,785,1011.01141,8.24406,746,1
31.69,73.51,784,1011.05609,7.87117,691,1
31.78,72.96,771,1011.05658,7.86715,720,1
31.8,72.96,854,1011.07422,7.72021,761,1
31.83,71.85,880,1011.09595,7.53906,751,1
31.85,66.67,877,1011.11047,7.4178,692,1
30.56,69.16,895,1011.12811,7.27036,754,1
30.58,71.89,885,1011.13141,7.24319,755,1
30.63,72.82,886,1011.15161,7.07463,41,0
30.65,72.23,888,1011.16022,7.00268,165,0
30.86,65.32,893,1011.15735,7.02683,31,0
31.12,69.17,890,1011.14648,7.1174,32,0
31.17,72.46,896,1011.16248,6.98406,147,0
31.22,69.29,908,1011.15405,7.054,34,0
31.25,71.66,892,1011.17999,6.83764,107,0
31.27,61.26,883,1011.16327,6.97752,804,1
31.29,73.04,618,1011.15002,7.08771,448,0
31.4,69.24,678,1011.15747,7.02582,272,0
31.41,72.54,596,1011.15283,7.06457,745,1
31.53,69.45,522,1011.14771,7.10734,788,1
29.13,71.72,475,1011.15851,7.01677,736,1
29.09,72.35,900,1011.16528,6.96041,787,1
29.11,63.09,889,1011.17236,6.90154,797,1
29.14,67.03,878,1011.16034,7.00167,796,1
29.16,63.15,684,1011.1283,7.26886,760,1
29.17,70.62,693,1011.12781,7.27288,798,1
29.15,67.4,663,1011.14917,7.09476,721,1
29.12,67.49,694,1011.15796,7.0218,766,1
29.18,65.4,667,1011.15845,7.01727,794,1
29.2,68.86,951,1011.1543,7.05199,747,1
29.22,69.67,701,1011.18188,6.82204,790,1
29.21,71.59,664,1011.53632,3.86593,800,1
29.23,78.76,627,1011.52112,3.99269,836,1
29.25,77.43,580,1011.54407,3.80155,840,1
29.27,80.7,591,1011.54437,3.79903,835,1
29.29,76.28,512,1011.54541,3.78998,865,1
29.39,75.31,569,1011.53455,3.88052,870,1
26.46,72.78,552,1011.52533,3.95748,849,1
26.49,71.61,601,1011.52814,3.93434,859,1
26.5,73.24,546,1011.54718,3.77539,784,1
26.53,72.48,564,1011.53485,3.878,802,1
26.55,69.03,541,1011.55078,3.74521,842,1
26.56,71.94,536,1011.54596,3.78545,838,1
26.58,80.33,555,1011.52753,3.93937,834,1
26.61,76.21,480,1011.51257,4.06412,828,1
26.63,84.39,517,1011.51154,4.07267,858,1
26.65,81.05,550,1011.50531,4.12448,829,1
26.66,73.57,777,1011.50232,4.14963,846,1
26.67,77.13,941,1011.5047,4.12951,837,1
26.68,76.39,795,1011.47986,4.33676,824,1
26.69,76.36,804,1011.46857,4.43083,823,1
26.7,72.6,809,1011.44983,4.58727,826,1
32.93,76.43,710,1011.44366,4.63859,845,1
32.89,80.19,703,1011.4458,4.62098,814,1
32.91,88.98,976,1011.44135,4.6582,744,1
32.83,78.43,428,1011.44116,4.65971,712,1
32.95,80.69,355,1011.44708,4.60991,786,1
32.61,88.73,364,1011.43073,4.74674,732,1
32.88,86.5,352,1011.42487,4.79554,844,1
32.9,84.12,974,1011.42877,4.76284,848,1
32.92,81.37,113,1011.40607,4.95199,869,1
32.71,81.83,316,1011.40033,5.00028,847,1
32.73,85.59,329,1011.37671,5.19698,855,1
32.74,83.6,927,1011.36487,5.29559,822,1
32.75,83.3,874,1011.34186,5.48777,821,1
33.79,86.85,336,1011.32617,5.61857,831,1
33.81,88.86,351,1011.323,5.64523,816,1
34.01,86.51,704,1011.29187,5.90484,708,1
34.03,87,543,1011.27966,6.00646,820,1
34.04,83.35,487,1011.24921,6.26054,812,1
34.08,90.71,482,1011.25079,6.24746,811,1
34.14,89.2,502,1011.26001,6.17048,818,1
33.55,88.99,379,1011.2807,5.99791,817,1
33.01,78.46,421,1011.29687,5.86308,772,1
33.3,80.09,377,1011.29486,5.87968,717,1
32.79,94.16,376,1011.27325,6.05979,718,1
