Model,MSE,R2 Score
Linear Regression,10601.686967755428,0.3562231898530407
Decision Tree,6605.758241758242,0.5988719547733007
Random Forest,2946.8316252747254,0.8210566045262895
XGBoost,3174.606689453125,0.807225227355957
SVR,4121.474013654352,0.7497276233788159
