pressure,altitude,dhthum,LDR value,rainValue,dhtTemp
1010.9903,8.42019,72.23,713,749,31.91
1010.98138,8.49466,65.32,685,758,31.44
1010.99731,8.36181,69.17,686,753,31.36
1011.00537,8.29438,72.46,675,762,31.35
1011.04669,7.94967,69.29,736,696,31.33
1011.03705,8.03019,71.66,772,693,31.38
1011.04346,7.97685,61.26,879,706,31.37
1011.0647,7.79972,73.04,844,716,31.45
1011.06116,7.82891,69.24,867,722,31.46
1011.04846,7.93508,72.54,871,726,31.47
1011.04749,7.94313,69.45,873,703,31.48
1011.03534,8.04428,71.72,870,727,31.5
1011.04919,7.92904,72.35,808,764,31.51
1011.04108,7.99647,63.09,778,757,31.52
1011.03796,8.02264,67.03,676,770,31.54
1011.01221,8.23751,63.15,830,729,31.56
1011.0022,8.32105,70.62,802,735,31.57
1010.98718,8.44635,67.4,852,715,31.59
1010.9881,8.4388,65.4,832,730,31.61
1010.98132,8.49517,68.86,856,759,31.63
1010.99188,8.4071,69.67,819,763,31.64
1010.96765,8.6094,71.59,783,765,31.65
1010.97339,8.56109,78.76,781,776,31.66
1010.97266,8.56763,77.43,817,777,31.67
1010.99408,8.38848,80.7,881,769,31.68
1011.01233,8.23651,76.28,912,728,31.69
1010.99469,8.38345,75.31,876,746,31.78
1011.01141,8.24406,72.78,785,691,31.83
1011.05609,7.87117,71.61,784,720,31.85
1011.05658,7.86715,73.24,771,761,30.56
1011.07422,7.72021,72.48,854,751,30.58
1011.09595,7.53906,69.03,880,692,30.63
1011.11047,7.4178,71.94,877,754,30.65
1011.12811,7.27036,80.33,895,755,30.86
1011.13141,7.24319,76.21,885,41,31.12
1011.15161,7.07463,84.39,886,165,31.17
1011.16022,7.00268,81.05,888,31,31.22
1011.15735,7.02683,73.57,893,32,31.25
1011.14648,7.1174,77.13,890,147,31.27
1011.16248,6.98406,76.39,896,34,31.29
1011.15405,7.054,76.36,908,107,31.41
1011.17999,6.83764,72.6,892,804,31.53
1011.16327,6.97752,76.43,883,448,29.13
1011.15002,7.08771,80.19,618,272,29.09
1011.15747,7.02582,88.98,678,745,29.11
1011.15283,7.06457,78.43,596,788,29.14
1011.14771,7.10734,80.69,522,736,29.16
1011.15851,7.01677,88.73,475,787,29.17
1011.16528,6.96041,86.5,900,797,29.15
1011.17236,6.90154,84.12,889,796,29.12
1011.16034,7.00167,81.37,878,760,29.18
1011.1283,7.26886,81.83,684,798,29.2
1011.12781,7.27288,85.59,693,721,29.22
1011.14917,7.09476,83.6,663,766,29.21
1011.15796,7.0218,83.3,694,794,29.23
1011.15845,7.01727,86.85,667,747,29.25
1011.1543,7.05199,88.86,951,790,29.27
1011.18188,6.82204,86.51,701,800,29.29
1011.53632,3.86593,83.35,664,836,29.39
1011.52112,3.99269,90.71,627,840,26.46
1011.54407,3.80155,89.2,580,835,26.49
1011.54437,3.79903,88.99,591,865,26.5
1011.54541,3.78998,78.46,512,870,26.53
1011.53455,3.88052,80.09,569,849,26.55
1011.52533,3.95748,94.16,552,859,26.56
1011.52814,3.93434,90.13,601,784,26.58
1011.54718,3.77539,86.47,546,802,26.61
1011.53485,3.878,82.67,564,842,26.63
1011.55078,3.74521,73.4,541,838,26.65
1011.54596,3.78545,75.6,536,834,26.66
